date,open,high,low,last,expiration_code,created_at,symbol_csi,numericdeliverymonth,expirydate,lastprice,volume,oi,totalvolume,totaloi,marketname,exchange,contractsize,category,pointvalue,unadjustedclose
2005-04-01,69.43,69.63,66.83,69.08,K05,1144,CT2,200505,20050506,69.08,19070,71210,29683,121289,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,69.08
2005-04-04,68.88,69.48,68.58,68.88,K05,1144,CT2,200505,20050506,68.88,6978,67787,12320,118849,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,68.88
2005-04-05,68.53,68.78,68.23,68.33,K05,1144,CT2,200505,20050506,68.33,6728,66048,13014,118626,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,68.33
2005-04-06,67.78,68.28,67.53,68.16,K05,1144,CT2,200505,20050506,68.16,10094,63184,18224,118824,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,68.16
2005-04-07,68.38,69.28,68.38,68.5,K05,1144,CT2,200505,20050506,68.5,11795,58379,22639,118435,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,68.5
2005-04-08,67.98,69.68,67.8,69.49,K05,1144,CT2,200505,20050506,69.49,12424,54195,22887,118668,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,69.49
2005-04-11,69.83,69.98,68.93,69.55,K05,1144,CT2,200505,20050506,69.55,8685,51732,17549,120432,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,69.55
2005-04-12,69.08,69.58,69.03,69.28,K05,1144,CT2,200505,20050506,69.28,15036,47213,30192,124290,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,69.28
2005-04-13,68.08,68.88,67.18,67.5,N05,1144,CT2,200507,20050714,67.5,18728,66040,45620,125552,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,67.5
2005-04-14,67.28,68.03,67.28,68.02,N05,1144,CT2,200507,20050714,68.02,12118,69430,27154,124824,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,68.02
2005-04-15,67.88,68.4,67.68,67.82,N05,1144,CT2,200507,20050714,67.82,10306,74404,20870,121235,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,67.82
2005-04-18,67.58,69.41,67.48,68.52,N05,1144,CT2,200507,20050714,68.52,16816,79818,31308,123499,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,68.52
2005-04-19,69.08,70.28,69.03,69.55,N05,1144,CT2,200507,20050714,69.55,17989,85142,29220,124829,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,69.55
2005-04-20,69.28,70.08,67.93,69.53,N05,1144,CT2,200507,20050714,69.53,16736,86802,28098,121257,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,69.53
2005-04-21,69.38,69.51,68.23,69.12,N05,1144,CT2,200507,20050714,69.12,13228,87165,24154,116345,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,69.12
2005-04-22,68.98,69.08,68.43,68.8,N05,1144,CT2,200507,20050714,68.8,10168,88223,19985,114540,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,68.8
2005-04-25,68.93,71.8,68.93,71.69,N05,1144,CT2,200507,20050714,71.69,18220,92698,24915,116856,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,71.69
2005-04-26,71.18,72.18,70.68,72.15,N05,1144,CT2,200507,20050714,72.15,11731,94552,17461,119196,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,72.15
2005-04-27,72.08,72.27,70.94,71.09,N05,1144,CT2,200507,20050714,71.09,8505,94777,12346,119453,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,71.09
2005-04-28,70.18,72.13,70.18,71.7,N05,1144,CT2,200507,20050714,71.7,7472,95525,9764,120574,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,71.7
2005-04-29,71.18,71.98,71.18,71.73,N05,1144,CT2,200507,20050714,71.73,5216,95565,7807,121159,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,71.73
2005-05-02,71.98,72.16,70.58,71.26,N05,1144,CT2,200507,20050714,71.26,9611,96647,11329,122345,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,71.26
2005-05-03,70.48,70.98,68.59,68.75,N05,1144,CT2,200507,20050714,68.75,17442,92206,21571,118694,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,68.75
2005-05-04,67.93,68.68,66.48,68.57,N05,1144,CT2,200507,20050714,68.57,28418,84144,36996,111624,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,68.57
2005-05-05,68.88,69.08,67.28,67.94,N05,1144,CT2,200507,20050714,67.94,8682,82753,12852,109836,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,67.94
2005-05-06,67.68,68.53,67.43,68.17,N05,1144,CT2,200507,20050714,68.17,6010,82471,8565,109960,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,68.17
2005-05-09,68.88,69.88,68.18,69.69,N05,1144,CT2,200507,20050714,69.69,9452,81137,13960,106429,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,69.69
2005-05-10,69.73,70.68,69.69,70.61,N05,1144,CT2,200507,20050714,70.61,7723,79964,10857,105708,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,70.61
2005-05-11,70.33,71.58,70.03,71.48,N05,1144,CT2,200507,20050714,71.48,7099,79949,9400,105996,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,71.48
2005-05-12,70.08,70.83,69.48,69.76,N05,1144,CT2,200507,20050714,69.76,7500,79746,10486,105907,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,69.76
2005-05-13,69.29,69.58,67.73,68.43,N05,1144,CT2,200507,20050714,68.43,11179,78023,15293,104938,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,68.43
2005-05-16,67.44,67.83,66.68,66.69,N05,1144,CT2,200507,20050714,66.69,12497,75819,16558,103071,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,66.69
2005-05-17,65.99,66.83,65.13,66.74,N05,1144,CT2,200507,20050714,66.74,18572,72931,24389,100051,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,66.74
2005-05-18,66.63,67.35,66.23,66.48,N05,1144,CT2,200507,20050714,66.48,8439,71077,10939,98704,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,66.48
2005-05-19,66.08,66.28,64.78,64.83,N05,1144,CT2,200507,20050714,64.83,19321,67165,25532,95747,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,64.83
2005-05-20,64.49,65.43,64.49,64.73,N05,1144,CT2,200507,20050714,64.73,10775,66404,14552,95695,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,64.73
2005-05-23,64.78,65.73,64.78,64.95,N05,1144,CT2,200507,20050714,64.95,5877,66149,7680,96044,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,64.95
2005-05-24,64.78,65.58,64.29,64.76,N05,1144,CT2,200507,20050714,64.76,7543,65254,10608,95876,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,64.76
2005-05-25,64.78,65.13,64.55,65.05,N05,1144,CT2,200507,20050714,65.05,4626,65335,6741,96385,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,65.05
2005-05-26,65.25,65.58,65.03,65.06,N05,1144,CT2,200507,20050714,65.06,4689,65375,6448,96903,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,65.06
2005-05-27,65.08,65.58,64.96,65.11,N05,1144,CT2,200507,20050714,65.11,3029,64967,4373,96975,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,65.11
2005-05-31,64.29,64.63,63.18,63.32,N05,1144,CT2,200507,20050714,63.32,17079,62341,27842,97413,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,63.32
2005-06-01,63.04,63.38,62.33,63.27,N05,1144,CT2,200507,20050714,63.27,18831,58203,29006,94461,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,63.27
2005-06-02,62.83,63.89,62.83,63.44,N05,1144,CT2,200507,20050714,63.44,12180,56421,20262,94590,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,63.44
2005-06-03,63.44,63.78,62.78,63.02,N05,1144,CT2,200507,20050714,63.02,9025,53849,15429,94025,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,63.02
2005-06-06,63.17,63.33,61.83,62.05,N05,1144,CT2,200507,20050714,62.05,11324,52332,17961,94057,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,62.05
2005-06-07,62.16,62.33,61.53,61.62,N05,1144,CT2,200507,20050714,61.62,14869,49486,27609,96381,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,61.62
2005-06-08,61.45,61.83,60.88,61.57,N05,1144,CT2,200507,20050714,61.57,14562,48734,31238,100865,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,61.57
2005-06-09,61.88,62.33,60.78,60.97,N05,1144,CT2,200507,20050714,60.97,17553,45413,32347,100523,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,60.97
2005-06-10,61.0,61.83,60.98,61.64,N05,1144,CT2,200507,20050714,61.64,13906,37396,26258,97056,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,61.64
2005-06-13,61.98,62.38,61.93,62.21,Z05,1144,CT2,200512,20051207,62.21,11927,52915,25059,96389,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,62.21
2005-06-14,61.81,62.21,61.66,61.73,Z05,1144,CT2,200512,20051207,61.73,11547,55284,23500,95290,Cotton #2 (combined),ICE-US,50000 lbs,Food & Fiber,$5.00,61.73
