date,open,high,low,last,expiration_code,created_at,symbol_csi,numericdeliverymonth,expirydate,lastprice,volume,oi,totalvolume,totaloi,marketname,exchange,contractsize,category,pointvalue,unadjustedclose
2005-04-01,124.45,125.05,123.7,124.5,K05,1150,OJ2,200505,20050510,124.5,1208,21547,1619,32824,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,124.5
2005-04-04,124.55,125.45,124.55,125.4,K05,1150,OJ2,200505,20050510,125.4,1476,21897,2384,33844,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,125.4
2005-04-05,125.95,126.0,124.5,125.1,K05,1150,OJ2,200505,20050510,125.1,1194,21823,1737,34036,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,125.1
2005-04-06,123.85,124.35,121.15,121.35,K05,1150,OJ2,200505,20050510,121.35,1847,20963,2998,33730,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,121.35
2005-04-07,121.05,122.25,118.85,121.55,K05,1150,OJ2,200505,20050510,121.55,5530,19419,8273,33334,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,121.55
2005-04-08,121.45,122.35,119.9,120.3,K05,1150,OJ2,200505,20050510,120.3,1662,18919,2530,32997,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,120.3
2005-04-11,119.45,120.85,118.65,118.75,K05,1150,OJ2,200505,20050510,118.75,2604,18467,3878,33353,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,118.75
2005-04-12,118.1,118.55,117.05,117.15,K05,1150,OJ2,200505,20050510,117.15,2470,17856,3847,33250,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,117.15
2005-04-13,116.55,119.8,115.95,118.25,K05,1150,OJ2,200505,20050510,118.25,2776,17375,4680,33079,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,118.25
2005-04-14,117.8,118.85,117.45,118.75,K05,1150,OJ2,200505,20050510,118.75,1969,16602,3837,33265,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,118.75
2005-04-15,119.35,119.65,118.55,119.45,K05,1150,OJ2,200505,20050510,119.45,1277,15717,2093,32675,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,119.45
2005-04-18,118.35,119.45,116.05,116.05,K05,1150,OJ2,200505,20050510,116.05,2395,14512,4579,32752,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,116.05
2005-04-19,116.15,116.45,114.4,116.35,K05,1150,OJ2,200505,20050510,116.35,3196,14025,6621,33596,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,116.35
2005-04-20,116.45,117.85,116.05,117.85,N05,1150,OJ2,200507,20050722,117.85,1133,14967,2382,32926,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,117.85
2005-04-21,118.0,119.35,117.75,118.75,N05,1150,OJ2,200507,20050722,118.75,4428,15690,8474,30643,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,118.75
2005-04-22,118.55,118.85,117.55,118.35,N05,1150,OJ2,200507,20050722,118.35,2273,17024,4645,30832,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,118.35
2005-04-25,119.2,120.65,118.5,120.4,N05,1150,OJ2,200507,20050722,120.4,2504,18572,4474,31361,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,120.4
2005-04-26,120.4,121.35,120.15,120.65,N05,1150,OJ2,200507,20050722,120.65,2989,20323,5740,31506,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,120.65
2005-04-27,120.85,121.1,119.7,119.85,N05,1150,OJ2,200507,20050722,119.85,1799,20838,3093,32114,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,119.85
2005-04-28,119.75,120.65,119.45,120.6,N05,1150,OJ2,200507,20050722,120.6,1708,21458,3601,32014,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,120.6
2005-04-29,121.05,121.05,119.25,119.35,N05,1150,OJ2,200507,20050722,119.35,1347,21331,6110,28856,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,119.35
2005-05-02,116.5,117.25,115.65,115.75,N05,1150,OJ2,200507,20050722,115.75,2965,20701,3574,28169,Frozen Orange Juice (combined),ICE-US,15000 lbs,Food & Fiber,$1.50,115.75
